Creed | Aventus | أفينتوس
Maison Francis Kurkdjian | Baccarat Rouge 540 | باكارات روج 540
Chanel | Bleu de Chanel Eau de Parfum | بلو دو شانيل
Jean Paul Gaultier | Le Male Elixir | لو مال إليكسير
Montale | Arabians Tonka | أرابيانز تونكا
Maison Margiela | Replica By the Fireplace | باي ذا فايربليس
Swiss Arabian | Shaghaf Oud | شغف عود
Byredo | Gypsy Water | جيبسي ووتر
Giorgio Armani | Stronger With You | سترونجر ويذ يو
Rabanne | Invictus | إنفيكتوس
Valentino | Uomo Intense | أومو إنتنس
Carolina Herrera | Bad Boy | باد بوي
Hermès | H24 | إتش 24
Dolce&Gabbana | The One for Men | ذا ون رجالي
Dior | J'adore | جادور
Gucci | Guilty | غوتشي غيلتي
Jean Paul Gaultier | Scandal | سكاندال
Rabanne | Lady Million | ليدي مليون
Creed | Viking | فايكنغ
Parfums de Marly | Percival | بيرسيفال
Xerjoff | XJ 1861 Renaissance | رينيسانس
Nishane | Hundred Silent Ways | هندرد سايلنت ويز
Montale | Intense Café | إنتنس كافيه
Le Labo | Another 13 | أناذر 13
Diptyque | Do Son | دو سون
Roja Parfums | Elysium Pour Homme Parfum Cologne | إليزيوم
Louis Vuitton | Nuit de Feu | نوي دو فو
Memo Paris | Irish Leather | آيريش ليذر
Guerlain | Spiritueux Double Vanille | سبيريتيو دوبل فانيل
Dior | Gris Dior | غري ديور
Lattafa | Nebras | نبراس
Lattafa | Yara Tous | يارا توس
Afnan | Supremacy Silver | سوبريماسي سيلفر
Rasasi | Daarej Men | دارج
Swiss Arabian | Layali | ليالي
Maison Alhambra | Toscano Leather | توسكانو ليذر
Rasasi | Hawas Ice | هوس آيس
David Beckham | True Instinct | ترو إنستنكت
Armaf | Club de Nuit Woman | كلوب دي نوي وومان
Boucheron | Quatre pour Femme | بوشرون كاتر
Elie Saab | Le Parfum | إيلي صعب لو بارفان
Aroub | Jazal | عروب جزل
