best_rank,brand,name,concentration,gender,listings,flanker_of,note,slug
4,Tom Ford,Tom Ford Eau D’ombré Leather EDT,edt,m,1,,,tom-ford-eau-d-ombre-leather-edt
5,Mont Blanc,Mont Blanc Legend Spirit,edt,m,1,Montblanc Legend,,mont-blanc-legend-spirit-perfume-for-men-eau-de-toilette
10,Guerlain,Guerlain Absolus Allegoria Cuir Intense EDP,edp,u,1,,,guerlain-absolus-allegoria-cuir-intense-edp
12,Roberto Cavalli,Roberto Cavalli Signature Sweet Ferocious EDP,edp,f,1,Roberto Cavalli Roberto Cavalli Eau de Parfum,,roberto-cavalli-signature-sweet-ferocious-edp
13,Gucci,Gucci Guilty Pour Homme Elixir de Parfum,parfum,m,1,,,gucci-guilty-pour-homme-elixir-de-parfum
14,Chopard,Chopard Amber Malaki,edp,u,1,,,chopard-amber-malaki-perfume-for-women-and-men-eau-de-parfum
15,Very Important Notes,"Very Important Notes No 6 Parfum - Bergamot, Cherry Blossom, White Musk, Vetiver",parfum,u,2,,,very-important-notes-no-6-parfum-bergamot-cherry-blossom-white-musk-vetiver
16,Guerlain,Guerlain La Petite Robe Noire Eau de Parfum Intense,edp,f,1,,,guerlain-la-petite-robe-noire-eau-de-parfum-intense
19,Candy Addict,Candy Addict Cherry Blossom EDP,edp,u,1,,,candy-addict-cherry-blossom-edp
20,Sospiro,Sospiro Vibrato EDP,edp,u,1,,,sospiro-vibrato-edp
24,Very Important Notes,"Very Important Notes No 3 Parfum - Amber, Patchouli, Cardamom, Leather",parfum,u,2,,,very-important-notes-no-3
31,Roberto Cavalli,Roberto Cavalli Paradiso Assoluto,edp,f,3,Roberto Cavalli Paradiso; Roberto Cavalli Roberto Cavalli Eau de Parfum,,roberto-cavalli-paradiso-assoluto-eau-de-parfum-for-women
33,L'auditoire,L'auditoire London EDP,edp,m,1,,,lauditoire-london-edp
35,Yummy Baby,Yummy Baby Powder EDT,edt,,1,,,yummy-baby-powder-edt
40,Gucci,Gucci Flora Gorgeous Gardenia EDP Intense,edp,f,1,Gucci Flora Gorgeous Gardenia,,gucci-flora-gorgeous-gardenia-edp-intense
42,Bugatti,Bugatti Signature Carbon EDT,edt,m,1,,,bugatti-signature-carbon-edt
43,Memo Paris,Memo Paris Madurai EDP,edp,u,2,,,memo-paris-madurai-edp
44,Cartier,Cartier Pasha Parfum,parfum,m,2,,,cartier-pasha-parfum-eau-de-parfum-for-men
46,Deraah,Deraah Oud Musk & Tofi EDP,edp,u,1,,,deraah-oud-musk-tofi-edp
48,Ormonde Jayne,Ormonde Jayne Ambre Royal Parfum,parfum,u,1,,,ormonde-jayne-ambre-royal-parfum
50,Dior,Dior Dior Addict EDP,edp,f,3,,,dior-dior-addict-eau-de-parfum-for-women
51,Very Important Notes,"Very Important Notes No 1 Parfum - Rose, Saffron, Vanilla Blossom, Woody Notes",parfum,u,2,,,very-important-notes-no-1
52,Guerlain,Guerlain Samsara EDP,edp,f,1,,,guerlain-samsara-edp
53,Dkhoun,Dkhoun Emerald Oud,edp,u,1,,,dkhoun-aimerald-oud-eau-de-parfum-for-men-women
57,Prada,Prada Paradoxe Virtual Flower EDP,edp,f,1,Prada Paradoxe,,prada-paradoxe-virtual-flower-edp
60,Burberry,Burberry My Burberry Blush,edp,f,2,Burberry My Burberry,,burberry-my-burberry-blush-perfume-eau-de-perfum-for-women
61,Ibraheem Al.Qurashi,Ibraheem Al.Qurashi White Regent Diamond EDP,edp,u,1,,,ibraheem-al-qurashi-white-regent-diamond-edp
63,Cartier,Cartier Pasha Noire,edt,m,2,,,cartier-pasha-noire
64,Clive Christian,Clive Christian Matsukita EDP,edp,u,1,,,clive-christian-matsukita-edp
67,Very Important Notes,"Very Important Notes No 22 Parfum - Pink Pepper, Lavender, Patchouli, Leather",parfum,u,2,,,very-important-notes-no-22-parfum-pink-pepper-lavender-patchouli-leather
68,Valentino,Valentino Donna Born In Roma,edp,f,3,,,valentino-donna-born-in-roma-eau-de-parfum-for-women
71,Giorgio Armani,Giorgio Armani Si Passione,edp,f,3,Giorgio Armani Sì,,giorgio-armani-si-passione-eau-de-parfum-for-women
72,Nina Ricci,Nina Ricci Premier Jour,edp,f,1,,,nina-ricci-premier-jour-eau-de-parfum-for-women
